ID_Details,Requested_IP,Consumption,Day,sload,dload,smean,dmean,ackdata,label
10101,192.182.04.17,0.255,1,180363632,0,248,0,0.051011,0
10101,192.182.06.28,0.264,2,881000000,0,881,0,0.005944,0
10101,192.182.04.17,0.253,3,854400000,0,534,0,0.020578,0
10101,192.181.050.21,0.258,4,600000000,0,450,0,0.029133,0
10101,192.182.06.28,0.234,5,850400000,0,1063,0,0,0
10101,192.182.04.17,0.249,6,1045333312,0,392,0,0.059909,0
10101,192.181.050.21,0.297,7,1306666624,0,980,0,0.018662,0
10101,192.182.06.28,0.25,1,197714288,0,692,0,0.039459,0
10101,192.182.04.17,0.26,2,1454000000,0,46,0,0.044058,0
10101,192.181.050.21,0.257,3,1178285696,0,46,0,0,0
10101,192.182.06.28,0.256,4,741818176,0,46,0,0.11909,0
10101,192.182.06.28,0.23,5,1052000000,0,46,0,0.076579,0
10101,192.182.04.17,0.246,6,418666656,0,727,0,0.120763,0
10101,192.181.050.21,0.293,7,709600000,0,1031,0,0.038638,0
10101,192.181.050.21,0.253,1,3136000000,0,1020,0,0.041498,0
10101,192.182.04.17,0.262,2,2054000000,0,526,0,0.113809,0
10101,192.181.050.21,0.258,3,868000000,0,157,0,0.114396,0
10101,192.182.06.28,0.259,4,89777776,0,887,0,0.05509,0
10101,192.181.050.21,0.231,5,533600000,0,784,0,0.049109,0
10101,192.182.04.17,0.247,6,1646400000,0,1027,0,0.05198,0
10101,192.182.06.28,0.29,7,381333312,0,1085,0,0.059913,0
10102,194.152.75.05,0.423,1,857142848,0,101,0,0.050586,0
10102,194.168.97.08,0.418,2,601333312,0,667,0,0.082619,0
10102,194.152.75.05,0.431,3,3252000000,0,1029,0,0.054287,0
10102,194.152.75.05,0.431,4,208000000,0,143,0,0.056122,0
10102,194.168.97.08,0.424,5,2660.780029,0,750,0,0.050474,0
10102,194.168.97.08,0.424,6,417142848,0,451,0,0.052018,0
10102,194.168.97.08,0.426,7,1983.072266,0,813,0,0.048173,0
10102,194.152.75.05,0.419,1,21302.3457,0,182,0,0.045857,0
10102,194.152.75.05,0.423,2,317600000,1249.506714,53,45,0.047447,0
10102,194.168.97.08,0.434,3,12368.25391,0,365,0,0.071494,0
10102,194.152.75.05,0.435,4,5976.375,1288.789062,53,44,0.044875,0
10102,194.168.97.08,0.427,5,5387.982422,894.087097,568,44,0.045756,0
10102,194.152.75.05,0.423,6,6.133776,0,397,0,0.063198,0
10102,194.152.75.05,0.427,7,6.133775,1692.7854,252,44,0.023243,0
10102,194.152.75.05,0.42,1,6.133776,8342.53125,82,147,0.064084,0
10102,194.168.97.08,0.421,2,3876.882812,2509.164307,53,45,0.048182,0
10102,194.168.97.08,0.434,3,6.133775,0,46,0,0.090558,0
10102,194.168.97.08,0.433,4,5081.243164,0,46,0,0.107666,0
10102,194.152.75.05,0.425,5,5067.785645,0,46,0,0.104772,0
10102,194.168.97.08,0.422,6,14002.70117,5940.385254,83,127,0,0
10102,194.152.75.05,0.43,7,5641.147461,0,46,0,0.071896,0
10103,193.101.77.61,0.367,1,6166.192383,2366.316895,53,45,0.101534,0
10103,193.112.54.01,0.356,2,15223.15527,3266.140381,53,44,0.113888,0
10103,193.101.77.61,0.36,3,3850.032715,1916.484497,252,44,0.057763,0
10103,193.101.77.61,0.358,4,5847.268066,7498.874512,83,142,0.100319,0
10103,193.112.54.01,0.355,5,5869.271484,2871.573975,53,45,0.061697,0
10103,193.101.77.61,0.363,6,22365.75781,2083.522461,252,44,0.083621,0
10103,193.112.54.01,0.366,7,509.208679,1792.946655,53,45,0.065139,0
10103,193.112.54.01,0.366,1,509.208679,10281.17773,80,141,0.040786,0
10103,193.101.77.61,0.357,2,509.208679,2733.298828,53,45,0.081746,0
10103,193.112.54.01,0.364,3,2421.971924,3061.097168,252,44,0.071475,0
10103,193.112.54.01,0.355,4,15737.73145,0,45,0,0.082397,0
10103,193.101.77.61,0.353,5,476.47995,0,45,0,0.121251,0
10103,193.112.54.01,0.36,6,476.47995,0,45,0,0.096724,0
10103,193.101.77.61,0.361,7,476.47995,1127.903809,53,45,0.085441,0
10103,193.101.77.61,0.364,1,440.371246,2153.949951,252,44,0.13225,0
10103,193.112.54.01,0.353,2,438.715302,0,45,0,0.134507,0
10103,193.112.54.01,0.367,3,440.371246,0,45,0,0.07601,0
10103,193.101.77.61,0.359,4,440.371246,0,45,0,0.044494,0
10103,193.112.54.01,0.356,5,438.715302,0,45,0,0.068161,0
10103,193.101.77.61,0.364,6,438.715302,0,45,0,0.073809,0
10103,193.112.54.01,0.364,7,16863.75195,0,45,0,0.103577,0
10104,195.105.070.11,0.541,1,382.985992,0,45,0,0.135262,0
10104,195.105.070.11,0.546,2,401.934662,0,45,0,0.096283,0
10104,195.105.070.11,0.54,3,382.985992,0,45,0,0.074761,0
